Task Type,Task Name,Task Category,Dependencies,Priority,Time Anchor (drop down)
Task,Verify delivery of preservation kit for bouquet (if ordered),Florist finalization tasks,,NORMAL,4 Weeks Out
Task,Re-confirm balance & fresh flower substitutions (7 days out),Florist finalization tasks,,NORMAL,1 Week Out
Task,Confirm final payment received,Florist finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Florist finalization tasks,,NORMAL,
Task,Confirm arrival time,Florist finalization tasks,,NORMAL,
Category,Catering finalization tasks,,,NORMAL,
Task,Coordinate vendor meal request with caterer,Catering finalization tasks,,NORMAL,4 Weeks Out
Task,"Finalize menu selections, dietary restrictions & quantities",Catering finalization tasks,,NORMAL,16 Weeks Out
Task,Confirm bar service integration OR separate bartender vendor,Catering finalization tasks,,NORMAL,16 Weeks Out
Task,Create table-side allergy matrix for servers,Catering finalization tasks,,NORMAL,16 Weeks Out
Task,Provide vendor meal count & timeline (45 days out),Catering finalization tasks,,NORMAL,6 Weeks Out
Task,Confirm kitchen equipment needs & venue rules,Catering finalization tasks,,NORMAL,16 Weeks Out
Task,Re-check guest count & meal splits after RSVPs due,Catering finalization tasks,,NORMAL,4 Weeks Out
Task,Verify final invoice & payment (14 days out),Catering finalization tasks,,NORMAL,2 Weeks Out
Task,Share final timeline with plating cues & special announcements,Catering finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm final payment received,Catering finalization tasks,,NORMAL,
Task,Send Final Headcount,Catering finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Catering finalization tasks,,NORMAL,
Task,Confirm arrival time,Catering finalization tasks,,NORMAL,
Category,Bartending finalization tasks,,,NORMAL,
Task,Review bar menu & signature cocktail recipes,Bartending finalization tasks,,NORMAL,16 Weeks Out
Task,"Approve rental list (bar fronts, glassware, ice bins)",Bartending finalization tasks,,NORMAL,16 Weeks Out
Task,Coordinate alcohol delivery or will-call pick-up logistics,Bartending finalization tasks,,NORMAL,16 Weeks Out
Task,Provide vendor meal count & timeline (same as catering),Bartending finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm final quantities & payment (10 days out),Bartending finalization tasks,,NORMAL,2 Weeks Out
Task,Share final timeline with last-call announcement cue,Bartending finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm final payment received,Bartending finalization tasks,,NORMAL,
Task,Send Final Headcount,Bartending finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Bartending finalization tasks,,NORMAL,
Task,Confirm arrival time,Bartending finalization tasks,,NORMAL,
Category,Transportation finalization tasks,,,NORMAL,
Task,Calculate headcounts for each shuttle or vehicle type,Transportation finalization tasks,,NORMAL,8 Weeks Out
Task,Provide pickup schedule & addresses (21 days out),Transportation finalization tasks,,NORMAL,4 Weeks Out
Task,Share driver contact info & day-of coordinator details,Transportation finalization tasks,,NORMAL,4 Weeks Out
Task,Re-confirm timeline & passenger list (72 hours out),Transportation finalization tasks,,NORMAL,2 Weeks Out
Task,Confirm final payment received,Transportation finalization tasks,,NORMAL,
Task,Send Final Headcount,Transportation finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Transportation finalization tasks,,NORMAL,
Task,Confirm arrival time,Transportation finalization tasks,,NORMAL,
Category,Accommodations finalization tasks,,,NORMAL,
Task,Verify Room Block Numbers,Accommodations finalization tasks,,NORMAL,12 Weeks Out
Task,Create welcome-bag stuffing & delivery schedule,Accommodations finalization tasks,,NORMAL,10 Weeks Out
Task,Coordinate shuttle pick-up/drop-off times with transportation vendor,Accommodations finalization tasks,,NORMAL,16 Weeks Out
Task,Send block reminder emails to guests (with RSVP nudges),Accommodations finalization tasks,,NORMAL,12 Weeks Out
Task,Verify guest count & final pickup dates for welcome bags,Accommodations finalization tasks,,NORMAL,8 Weeks Out
Task,Deliver welcome bags to hotel front desk (day before check-in),Accommodations finalization tasks,,NORMAL,1 Week Out
Task,Reminder that Hotel Blocks Close,Accommodations finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Accommodations finalization tasks,,NORMAL,
Task,Confirm arrival time,Accommodations finalization tasks,,NORMAL,
Category,Hair and Makeup finalization tasks,,,NORMAL,
Task,Confirm service timeline & number of artists,Hair and Makeup finalization tasks,,NORMAL,16 Weeks Out
Task,"Build getting-ready schedule (bride, attendants, family)",Hair and Makeup finalization tasks,,NORMAL,16 Weeks Out
Task,Provide final headcount & style notes (30 days out),Hair and Makeup finalization tasks,,NORMAL,4 Weeks Out
Task,Share parking instructions & prep guide with wedding party,Hair and Makeup finalization tasks,,NORMAL,4 Weeks Out
Task,"Re-confirm timeline, allergies, balance payment (7 days out)",Hair and Makeup finalization tasks,,NORMAL,2 Weeks Out
Task,Collect Venmo information for tipping,Hair and Makeup finalization tasks,,NORMAL,2 Weeks Out
Task,Confirm final payment received,Hair and Makeup finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Hair and Makeup finalization tasks,,NORMAL,
Task,Confirm arrival time,Hair and Makeup finalization tasks,,NORMAL,
Category,Rehearsal Dinner Finalization Tasks,,,NORMAL,
Task,Confirm final headcount & menu selections (7 days out),Rehearsal Dinner Finalization Tasks,,NORMAL,2 Weeks Out
Task,Add rehearsal dinner timeline to master weekend schedule,Rehearsal Dinner Finalization Tasks,,NORMAL,16 Weeks Out
Category,Officiant finalization tasks,,,NORMAL,
Task,Draft ceremony outline & approval process,Officiant finalization tasks,,NORMAL,12 Weeks Out
Task,Provide marriage license instructions & deadlines,Officiant finalization tasks,,NORMAL,8 Weeks Out
Task,Share rehearsal details & timeline (30 days out),Officiant finalization tasks,,NORMAL,4 Weeks Out
Task,Finalize script edits (14 days out),Officiant finalization tasks,,NORMAL,2 Weeks Out
Task,Confirm microphone preferences & sound-check plans,Officiant finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm final payment received,Officiant finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Officiant finalization tasks,,NORMAL,
Task,Confirm arrival time,Officiant finalization tasks,,NORMAL,
Category,Dessert finalization tasks,,,NORMAL,
Task,"Confirm linen, cake cutting set, florals for display",Dessert finalization tasks,,NORMAL,16 Weeks Out
Task,Provide final guest count & dietary notes (21 days out),Dessert finalization tasks,,NORMAL,4 Weeks Out
Task,Confirm delivery window & on-site contact,Dessert finalization tasks,,NORMAL,4 Weeks Out
Task,Add cake cutting time to timeline,Dessert finalization tasks,,NORMAL,16 Weeks Out
Task,Confirm final payment received,Dessert finalization tasks,,NORMAL,
Task,Send Final Headcount,Dessert finalization tasks,,NORMAL,
Task,Schedule meeting to go over logistics and timeline,Dessert finalization tasks,,NORMAL,
Task,Confirm arrival time,Dessert finalization tasks,,NORMAL,
Category,Couple Tasks - 3 Months Out,,Couple Tasks - 4 Months Out,NORMAL,12 Weeks Out
Couple Tasks,Schedule Site Visit,Couple Tasks - 3 Months Out,,NORMAL,
Couple Tasks,Start Writing Vows/Speeches,Couple Tasks - 3 Months Out,,NORMAL,
Couple Tasks,Hotel Welcome Bags,Couple Tasks - 3 Months Out,,NORMAL,
Couple Tasks,Finalize Seating Chart,Couple Tasks - 3 Months Out,,NORMAL,
Couple Tasks,Wedding Day Accessories,Couple Tasks - 3 Months Out,,NORMAL,
Task,RSVP's are due,Couple Tasks - 3 Months Out,,HIGH,8 Weeks Out
Category,Couple Tasks - 2 Months Out,,Couple Tasks - 3 Months Out,NORMAL,8 Weeks Out
Task,Dress Fitting/Attire Alterations,Couple Tasks - 2 Months Out,,NORMAL,
Task,Break in Wedding Shoes,Couple Tasks - 2 Months Out,,NORMAL,
Task,Final Rae & Co. Payment,Couple Tasks - 2 Months Out,,NORMAL,
Task,Pack for Honeymoon,Couple Tasks - 2 Months Out,,NORMAL,
Task,Canva Doc Finished (Preliminary),Couple Tasks - 2 Months Out,,NORMAL,8 Weeks Out
Category,Couple Tasks - 1 Months Out,,Couple Tasks - 2 Months Out,NORMAL,4 Weeks Out
Task,Purchase Event Insurance,Couple Tasks - 1 Months Out,,NORMAL,
Task,Marriage License,Couple Tasks - 1 Months Out,,NORMAL,
Task,Final Fittings,Couple Tasks - 1 Months Out,,NORMAL,
Task,List of Personal Items/Inventory,Couple Tasks - 1 Months Out,,NORMAL,
Task,Collect final fitting confirmations (30 days out),Couple Tasks - 1 Months Out,,NORMAL,4 Weeks Out
Category,Couple Tasks - 2 Weeks Out,,Couple Tasks - 1 Months Out,NORMAL,2 Weeks Out
Task,Pickup Attire,Couple Tasks - 2 Weeks Out,,NORMAL,
Category,Couple Tasks - 1 Week Out,,Couple Tasks - 2 Weeks Out,NORMAL,1 Week Out
Task,"Practice Vows, Speeches",Couple Tasks - 1 Week Out,,NORMAL,
Task,Haircut/Nails/Spray Tan,Couple Tasks - 1 Week Out,,NORMAL,
Task,Steam/Prep All Attire,Couple Tasks - 1 Week Out,,NORMAL,
Task,Final Timeline Approved,,,HIGH,5 Weeks Out
Task,Rehearsal Complete,,,,1 Day Out
Category,Day-Of ,Day-Of ,,,
Task,"Day-of: Verify load-in, sound-check completion, cue sheets ready",Day-Of ,,,Wedding Day
Task,Day of: Collect unused alcohol for client (if allowed),Day-Of ,,,Wedding Day
Category,WEDDING DAY (Anchor),,,,Wedding Day
Task,Counter-sign Contract,Wedding Day,,,
Task,"If client wants to meet with photographer, schedule meeting",Day-Of ,,,
Task,Present short-list & gather client feedback,Day-Of ,,,
Task,indoor/outdoor cocktail hour and ceremony space,Day-Of ,,,
Task,Add payment dates into calendar,Day-Of ,,,
Task,parking and driveway/traffic flow,Day-Of ,,,
Task,vendor parking,Day-Of ,,,
Task,red flags and green flags,Day-Of ,,,
Task,"ceremony set up, wedding party line up location",Day-Of ,,,
Task,catering set up and workflow,Day-Of ,,,
Task,vendor load in,Day-Of ,,,
Task,number of guests and size of reception space,Day-Of ,,,
Task,Bride and Groom suite size and set up,Day-Of ,,,
