Full Planning Wedding Day,,,,,,,,
,,,,,,,,
Task Type,Task Name,Parent Name,Priority,Assigned To ,Package ,Pipeline Phase ,Task Category ,Time Anchor 
Task,Confirm final payment received,Florist finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Florist finalization tasks,,,,,,
Task,Confirm arrival time,Florist finalization tasks,,,,,,
Task,Catering finalization tasks,FINALIZATION,,,,,,
Task,Coordinate vendor meal request with caterer,Catering finalization tasks,,,,,,4 Weeks Out
Task,"Finalize menu selections, dietary restrictions & quantities",Catering finalization tasks,,,,,,16 Weeks Out
Task,Confirm bar service integration OR separate bartender vendor,Catering finalization tasks,,,,,,16 Weeks Out
Task,Create table-side allergy matrix for servers,Catering finalization tasks,,,,,,16 Weeks Out
Task,Provide vendor meal count & timeline (45 days out),Catering finalization tasks,,,,,,6 Weeks Out
Task,Confirm kitchen equipment needs & venue rules,Catering finalization tasks,,,,,,16 Weeks Out
Task,Re-check guest count & meal splits after RSVPs due,Catering finalization tasks,,,,,,4 Weeks Out
Task,Verify final invoice & payment (14 days out),Catering finalization tasks,,,,,,2 Weeks Out
Task,Share final timeline with plating cues & special announcements,Catering finalization tasks,,,,,,4 Weeks Out
Task,Confirm final payment received,Catering finalization tasks,,,,,,
Task,Send Final Headcount,Catering finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Catering finalization tasks,,,,,,
Task,Confirm arrival time,Catering finalization tasks,,,,,,
Task,Bartending finalization tasks,FINALIZATION,,,,,,
Task,Review bar menu & signature cocktail recipes,Bartending finalization tasks,,,,,,16 Weeks Out
Task,"Approve rental list (bar fronts, glassware, ice bins)",Bartending finalization tasks,,,,,,16 Weeks Out
Task,Coordinate alcohol delivery or will-call pick-up logistics,Bartending finalization tasks,,,,,,16 Weeks Out
Task,Provide vendor meal count & timeline (same as catering),Bartending finalization tasks,,,,,,4 Weeks Out
Task,Confirm final quantities & payment (10 days out),Bartending finalization tasks,,,,,,2 Weeks Out
Task,Share final timeline with last-call announcement cue,Bartending finalization tasks,,,,,,4 Weeks Out
Task,Confirm final payment received,Bartending finalization tasks,,,,,,
Task,Send Final Headcount,Bartending finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Bartending finalization tasks,,,,,,
Task,Confirm arrival time,Bartending finalization tasks,,,,,,
Task,Transportation finalization tasks,FINALIZATION,,,,,,
Task,Calculate headcounts for each shuttle or vehicle type,Transportation finalization tasks,,,,,,8 Weeks Out
Task,Provide pickup schedule & addresses (21 days out),Transportation finalization tasks,,,,,,4 Weeks Out
Task,Share driver contact info & day-of coordinator details,Transportation finalization tasks,,,,,,4 Weeks Out
Task,Re-confirm timeline & passenger list (72 hours out),Transportation finalization tasks,,,,,,2 Weeks Out
Task,Confirm final payment received,Transportation finalization tasks,,,,,,
Task,Send Final Headcount,Transportation finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Transportation finalization tasks,,,,,,
Task,Confirm arrival time,Transportation finalization tasks,,,,,,
Task,Accommodations finalization tasks,FINALIZATION,,,,,,
Task,Verify Room Block Numbers,Accommodations finalization tasks,NORMAL,,,,,12 Weeks Out
Task,Create welcome-bag stuffing & delivery schedule,Accommodations finalization tasks,,,,,,10 Weeks Out
Task,Coordinate shuttle pick-up/drop-off times with transportation vendor,Accommodations finalization tasks,,,,,,16 Weeks Out
Task,Send block reminder emails to guests (with RSVP nudges),Accommodations finalization tasks,,,,,,12 Weeks Out
Task,Verify guest count & final pickup dates for welcome bags,Accommodations finalization tasks,,,,,,8 Weeks Out
Task,Deliver welcome bags to hotel front desk (day before check-in),Accommodations finalization tasks,,,,,,1 Week Out
Task,Reminder that Hotel Blocks Close,Accommodations finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Accommodations finalization tasks,,,,,,
Task,Confirm arrival time,Accommodations finalization tasks,,,,,,
Task,Hair and Makeup finalization tasks,FINALIZATION,,,,,,
Task,Confirm service timeline & number of artists,Hair and Makeup finalization tasks,,,,,,16 Weeks Out
Task,"Build getting-ready schedule (bride, attendants, family)",Hair and Makeup finalization tasks,,,,,,16 Weeks Out
Task,Provide final headcount & style notes (30 days out),Hair and Makeup finalization tasks,,,,,,4 Weeks Out
Task,Share parking instructions & prep guide with wedding party,Hair and Makeup finalization tasks,,,,,,4 Weeks Out
Task,"Re-confirm timeline, allergies, balance payment (7 days out)",Hair and Makeup finalization tasks,,,,,,2 Weeks Out
Task,Collect Venmo information for tipping,Hair and Makeup finalization tasks,,,,,,2 Weeks Out
Task,Confirm final payment received,Hair and Makeup finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Hair and Makeup finalization tasks,,,,,,
Task,Confirm arrival time,Hair and Makeup finalization tasks,,,,,,
Task,Rehearsal Dinner Finalization Tasks,FINALIZATION,,,,,,
Task,Confirm final headcount & menu selections (7 days out),Rehearsal Dinner Finalization Tasks,,,,,,2 Weeks Out
Task,Add rehearsal dinner timeline to master weekend schedule,Rehearsal Dinner Finalization Tasks,,,,,,16 Weeks Out
Task,Officiant finalization tasks,FINALIZATION,,,,,,
Task,Draft ceremony outline & approval process,Officiant finalization tasks,,,,,,12 Weeks Out
Task,Provide marriage license instructions & deadlines,Officiant finalization tasks,,,,,,8 Weeks Out
Task,Share rehearsal details & timeline (30 days out),Provide marriage license instructions & deadlines,,,,,,4 Weeks Out
Task,Finalize script edits (14 days out),Officiant finalization tasks,,,,,,2 Weeks Out
Task,Confirm microphone preferences & sound-check plans,Finalize script edits (14 days out),,,,,,4 Weeks Out
Task,Confirm final payment received,Officiant finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Officiant finalization tasks,,,,,,
Task,Confirm arrival time,Officiant finalization tasks,,,,,,
Task,Dessert finalization tasks,FINALIZATION,,,,,,
Task,"Confirm linen, cake cutting set, florals for display",Dessert finalization tasks,,,,,,16 Weeks Out
Task,Provide final guest count & dietary notes (21 days out),Dessert finalization tasks,,,,,,4 Weeks Out
Task,Confirm delivery window & on-site contact,Dessert finalization tasks,,,,,,4 Weeks Out
Task,Add cake cutting time to timeline,Dessert finalization tasks,,,,,,16 Weeks Out
Task,Confirm final payment received,Dessert finalization tasks,,,,,,
Task,Send Final Headcount,Dessert finalization tasks,,,,,,
Task,Schedule meeting to go over logistics and timeline,Dessert finalization tasks,,,,,,
Task,Confirm arrival time,Dessert finalization tasks,,,,,,
Task,Couple Tasks - 3 Months Out,,,,,,,12 Weeks Out
Task,Schedule Site Visit,Couple Tasks - 3 Months Out,,,,,,
Task,Start Writing Vows/Speeches,Couple Tasks - 3 Months Out,,,,,,
Task,Hotel Welcome Bags,Couple Tasks - 3 Months Out,,,,,,
Task,Finalize Seating Chart,Couple Tasks - 3 Months Out,,,,,,
Task,Wedding Day Accessories,Couple Tasks - 3 Months Out,,,,,,
Milestone,RSVP's are due,,HIGH,,,Finalization,Reminder,8 Weeks Out
Task,Couple Tasks - 2 Months Out,,,,,,,8 Weeks Out
Task,Dress Fitting/Attire Alterations,Couple Tasks - 2 Months Out,,,,,,
Task,Break in Wedding Shoes,Couple Tasks - 2 Months Out,,,,,,
Task,Final Rae & Co. Payment,Couple Tasks - 2 Months Out,,,,,,
Task,Pack for Honeymoon,Couple Tasks - 2 Months Out,,,,,,
Task,Canva Doc Finished (Preliminary),,,,,,,8 Weeks Out
Task,Couple Tasks - 1 Months Out,,,,,,,4 Weeks Out
Task,Purchase Event Insurance,Couple Tasks - 1 Months Out,,,,,,
Task,Marriage License,Couple Tasks - 1 Months Out,,,,,,
Task,Final Fittings,Couple Tasks - 1 Months Out,,,,,,
Task,List of Personal Items/Inventory,Couple Tasks - 1 Months Out,,,,,,
Task,Collect final fitting confirmations (30 days out),Couple Tasks - 1 Months Out,,,,,,4 Weeks Out
Task,Couple Tasks - 2 Weeks Out,,,,,,,2 Weeks Out
Task,Pickup Attire,Couple Tasks - 2 Weeks Out,,,,,,
Task,Couple Tasks - 1 Week Out,,,,,,,1 Week Out
Task,"Practice Vows, Speeches",Couple Tasks - 1 Week Out,,,,,,
Task,Haircut/Nails/Spray Tan,Couple Tasks - 1 Week Out,,,,,,
Task,Steam/Prep All Attire,Couple Tasks - 1 Week Out,,,,,,
Milestone,Final Timeline Approved,,HIGH,,,,,5 Weeks Out
Milestone,Rehearsal Complete,,,,,,,1 Day Out
Task,"Day-of: Verify load-in, sound-check completion, cue sheets ready",,,,,,,Wedding Day
Task,Day of: Collect unused alcohol for client (if allowed),,,,,,,Wedding Day
Milestone,WEDDING DAY (Anchor),,,,,Day of,,Wedding Day
Task,Counter-sign Contract,,,,,,,
Task,"If client wants to meet with photographer, schedule meeting",,,,,,,
Task,Present short-list & gather client feedback,,,,,,,
Task,indoor/outdoor cocktail hour and ceremony space,,,,,,,
Task,Add payment dates into calendar,,,,,,,
Task,parking and driveway/traffic flow,,,,,,,
Task,vendor parking,,,,,,,
Task,red flags and green flags,,,,,,,
Task,"ceremony set up, wedding party line up location",,,,,,,
Task,catering set up and workflow,,,,,,,
Task,vendor load in,,,,,,,
Task,number of guests and size of reception space,,,,,,,
Task,Bride and Groom suite size and set up,,,,,,,
Task,Extensive rain plan,,,,,,,
